ad;year;month;atfm_arrivals;total_delay;atc_delay;atc_other_delay;weather_delay;other_delay;last_entry;last_update
LFSB;2009;3;2567;414;0;414;0;0;3-20-2009;9-3-12 19:17
LGAV;2009;3;7604;735;735;0;0;0;3-29-2009;9-3-12 19:19
LHBP;2009;3;4267;8349;383;0;0;7966;3-31-2009;9-3-12 19:19
LICC;2009;3;2038;0;0;0;0;0;;
LIMC;2009;3;7725;297;0;0;297;0;3-30-2009;9-3-12 19:19
LIME;2009;3;2591;0;0;0;0;0;;
LIML;2009;3;5358;2100;0;0;2011;89;3-4-2009;9-3-12 19:13
LIPE;2009;3;2407;0;0;0;0;0;;
LIPZ;2009;3;2861;0;0;0;0;0;;
LIRF;2009;3;13481;8184;0;0;8184;0;3-24-2009;9-3-12 19:18
LIRN;2009;3;2323;0;0;0;0;0;;
LJLJ;2009;3;1436;0;0;0;0;0;;
LKPR;2009;3;6271;0;0;0;0;0;;
LMML;2009;3;930;0;0;0;0;0;;
LOWW;2009;3;10714;17502;13239;65;4198;0;3-31-2009;9-3-12 19:19
LPPR;2009;3;2168;444;0;0;444;0;3-21-2009;9-3-12 19:17
LPPT;2009;3;5373;1466;0;0;1466;0;3-22-2009;9-3-12 19:17
LROP;2009;3;2879;0;0;0;0;0;;
LSGG;2009;3;7671;12910;12910;0;0;0;3-31-2009;9-3-12 19:19
LSZH;2009;3;10137;8870;1287;409;7174;0;3-31-2009;9-3-12 19:19
LZIB;2009;3;855;0;0;0;0;0;;
EBBR;2009;4;9580;6824;1012;0;5812;0;4-27-2009;9-3-12 19:27
EDDB;2009;4;2651;0;0;0;0;0;;
EDDF;2009;4;19157;28809;2803;0;26006;0;4-30-2009;9-3-12 19:28
EDDH;2009;4;6010;5170;2639;1492;1039;0;4-30-2009;9-3-12 19:28
EDDK;2009;4;5329;2312;1457;0;855;0;4-23-2009;9-3-12 19:27
EDDL;2009;4;8563;1654;1654;0;0;0;4-28-2009;9-3-12 19:28
EDDM;2009;4;16652;10493;1704;0;7673;1116;4-26-2009;9-3-12 19:27
EDDN;2009;4;2524;12;0;0;0;12;4-8-2009;9-3-12 19:23
EDDP;2009;4;2280;0;0;0;0;0;;
EDDS;2009;4;5286;5074;45;3907;1122;0;4-27-2009;9-3-12 19:27
EDDV;2009;4;2914;0;0;0;0;0;;
EETN;2009;4;1193;0;0;0;0;0;;
EFHK;2009;4;7370;418;0;0;418;0;4-18-2009;9-3-12 19:26
EGBB;2009;4;4078;0;0;0;0;0;;
EGCC;2009;4;7040;3985;0;0;3985;0;4-29-2009;9-3-12 19:28
EGGD;2009;4;2396;0;0;0;0;0;;
EGGW;2009;4;4161;221;0;0;221;0;4-29-2009;9-3-12 19:28
EGKK;2009;4;10101;1908;0;0;1908;0;4-29-2009;9-3-12 19:28
EGLC;2009;4;3211;13825;388;0;8243;5194;4-29-2009;9-3-12 19:28
EGLL;2009;4;19615;48328;10449;0;37879;0;4-29-2009;9-3-12 19:28
EGNT;2009;4;2135;0;0;0;0;0;;
EGPD;2009;4;2799;0;0;0;0;0;;
EGPF;2009;4;3387;63;63;0;0;0;4-30-2009;9-3-12 19:28
EGPH;2009;4;4754;335;0;0;335;0;4-15-2009;9-3-12 19:25
EGSS;2009;4;6693;790;0;0;0;790;4-3-2009;9-3-12 19:22
EHAM;2009;4;17099;15517;1259;0;14258;0;4-29-2009;9-3-12 19:28
EIDW;2009;4;7380;710;0;0;710;0;4-23-2009;9-3-12 19:27
EKCH;2009;4;9599;0;0;0;0;0;;
ELLX;2009;4;2280;0;0;0;0;0;;
ENBR;2009;4;3512;443;443;0;0;0;4-15-2009;9-3-12 19:25
ENGM;2009;4;8495;507;0;0;507;0;4-3-2009;9-3-12 19:22
ENVA;2009;4;1937;0;0;0;0;0;;
ENZV;2009;4;2700;0;0;0;0;0;;
EPWA;2009;4;5443;153;153;0;0;0;4-3-2009;9-3-12 19:22
ESGG;2009;4;2318;0;0;0;0;0;;
ESSA;2009;4;8091;320;320;0;0;0;4-1-2009;9-3-12 19:20
EVRA;2009;4;2302;0;0;0;0;0;;
EYVI;2009;4;841;0;0;0;0;0;;
GCLP;2009;4;4315;0;0;0;0;0;;
GCTS;2009;4;2059;919;919;0;0;0;4-17-2009;9-3-12 19:25
GCXO;2009;4;2515;0;0;0;0;0;;
LBSF;2009;4;1924;0;0;0;0;0;;
LCLK;2009;4;1994;0;0;0;0;0;;
LDZA;2009;4;1571;0;0;0;0;0;;
LEAL;2009;4;3075;0;0;0;0;0;;
LEBB;2009;4;1970;0;0;0;0;0;;
LEBL;2009;4;12051;0;0;0;0;0;;
LEIB;2009;4;1364;0;0;0;0;0;;
LEMD;2009;4;18415;14759;9774;819;2724;1442;4-30-2009;9-3-12 19:28
LEMG;2009;4;4446;1822;509;0;1313;0;4-11-2009;9-3-12 19:24
LEPA;2009;4;7052;319;284;0;35;0;4-29-2009;9-3-12 19:28
LEVC;2009;4;3083;0;0;0;0;0;;
LEZL;2009;4;1973;0;0;0;0;0;;
LFLL;2009;4;5379;1745;0;0;1745;0;4-30-2009;9-3-12 19:28
LFMN;2009;4;5296;2828;0;0;2828;0;4-17-2009;9-3-12 19:25
LFPG;2009;4;22607;11023;5715;0;5308;0;4-30-2009;9-3-12 19:28
LFPO;2009;4;9877;1743;139;0;1604;0;4-30-2009;9-3-12 19:28
LFSB;2009;4;2551;0;0;0;0;0;;
LGAV;2009;4;8593;3640;3640;0;0;0;4-17-2009;9-3-12 19:25
LHBP;2009;4;4658;12798;304;3079;0;9415;4-30-2009;9-3-12 19:28
LICC;2009;4;2532;0;0;0;0;0;;
LIMC;2009;4;7958;458;0;0;458;0;4-27-2009;9-3-12 19:27
LIME;2009;4;2615;285;0;0;285;0;4-28-2009;9-3-12 19:28
LIML;2009;4;5140;46;46;0;0;0;4-15-2009;9-3-12 19:25
LIPE;2009;4;2771;0;0;0;0;0;;
LIPZ;2009;4;3099;496;0;0;496;0;4-17-2009;9-3-12 19:25
LIRF;2009;4;13812;4645;564;0;4081;0;4-29-2009;9-3-12 19:28
LIRN;2009;4;2631;2342;0;0;0;2342;4-9-2009;9-3-12 19:24
LJLJ;2009;4;1498;0;0;0;0;0;;
LKPR;2009;4;6687;507;423;0;0;84;4-30-2009;9-3-12 19:28
LMML;2009;4;1250;0;0;0;0;0;;
LOWW;2009;4;10557;8127;8127;0;0;0;4-30-2009;9-3-12 19:28
LPPR;2009;4;2255;0;0;0;0;0;;
LPPT;2009;4;5700;853;853;0;0;0;4-30-2009;9-3-12 19:28
LROP;2009;4;2988;0;0;0;0;0;;
LSGG;2009;4;6749;9181;9181;0;0;0;4-30-2009;9-3-12 19:28
LSZH;2009;4;10203;8462;2251;919;5292;0;4-28-2009;9-3-12 19:28
LZIB;2009;4;992;0;0;0;0;0;;
EBBR;2009;5;10016;7728;593;0;7135;0;5-29-2009;9-3-12 19:38
EDDB;2009;5;2949;0;0;0;0;0;;
EDDF;2009;5;20329;43383;1117;0;42266;0;5-29-2009;9-3-12 19:38
EDDH;2009;5;6374;5613;3330;0;0;2283;5-29-2009;9-3-12 19:38
EDDK;2009;5;5887;892;892;0;0;0;5-7-2009;9-3-12 19:31
EDDL;2009;5;9475;2480;1905;119;456;0;5-25-2009;9-3-12 19:37
EDDM;2009;5;17496;24727;765;0;23459;503;5-29-2009;9-3-12 19:38
EDDN;2009;5;2519;0;0;0;0;0;;
EDDP;2009;5;2509;0;0;0;0;0;;
EDDS;2009;5;5771;12357;0;11678;679;0;5-25-2009;9-3-12 19:37
EDDV;2009;5;3156;0;0;0;0;0;;
EETN;2009;5;1211;0;0;0;0;0;;
EFHK;2009;5;7339;0;0;0;0;0;;
EGBB;2009;5;4513;0;0;0;0;0;;
EGCC;2009;5;7868;102;0;0;0;102;5-14-2009;9-3-12 19:34
EGGD;2009;5;2618;0;0;0;0;0;;
EGGW;2009;5;4641;0;0;0;0;0;;
EGKK;2009;5;11196;59;0;0;59;0;5-9-2009;9-3-12 19:32
EGLC;2009;5;3313;5357;3084;0;2269;4;5-27-2009;9-3-12 19:37
EGLL;2009;5;20087;24117;4167;0;19371;579;5-30-2009;9-3-12 19:39
EGNT;2009;5;2443;0;0;0;0;0;;
EGPD;2009;5;2810;0;0;0;0;0;;
EGPF;2009;5;3631;0;0;0;0;0;;
EGPH;2009;5;5152;0;0;0;0;0;;
EGSS;2009;5;6964;0;0;0;0;0;;
EHAM;2009;5;18151;5280;3083;0;2197;0;5-30-2009;9-3-12 19:39
EIDW;2009;5;7862;2427;0;0;2427;0;5-15-2009;9-3-12 19:34
EKCH;2009;5;10036;1059;0;27;1032;0;5-28-2009;9-3-12 19:38
ELLX;2009;5;2383;0;0;0;0;0;;
ENBR;2009;5;3761;1803;367;1436;0;0;5-29-2009;9-3-12 19:38
ENGM;2009;5;9132;1059;0;214;845;0;5-20-2009;9-3-12 19:35
ENVA;2009;5;2110;0;0;0;0;0;;
ENZV;2009;5;2808;1416;1416;0;0;0;5-13-2009;9-3-12 19:33
EPWA;2009;5;5744;6155;5412;0;0;743;5-25-2009;9-3-12 19:37
ESGG;2009;5;2418;0;0;0;0;0;;
ESSA;2009;5;8338;514;0;262;252;0;5-20-2009;9-3-12 19:35
EVRA;2009;5;2438;0;0;0;0;0;;
EYVI;2009;5;885;0;0;0;0;0;;
GCLP;2009;5;3728;0;0;0;0;0;;
GCTS;2009;5;1538;707;707;0;0;0;5-1-2009;9-3-12 19:29
GCXO;2009;5;2510;0;0;0;0;0;;
LBSF;2009;5;1953;0;0;0;0;0;;
LCLK;2009;5;2306;1484;1484;0;0;0;5-25-2009;9-3-12 19:37
LDZA;2009;5;1677;0;0;0;0;0;;
LEAL;2009;5;3358;0;0;0;0;0;;
LEBB;2009;5;2037;0;0;0;0;0;;
LEBL;2009;5;12478;11547;152;60;11335;0;5-25-2009;9-3-12 19:37
LEIB;2009;5;2287;57;57;0;0;0;5-20-2009;9-3-12 19:35
LEMD;2009;5;18654;14312;10192;2441;1215;464;5-30-2009;9-3-12 19:39
LEMG;2009;5;4898;353;353;0;0;0;5-30-2009;9-3-12 19:39
LEPA;2009;5;9177;2350;2138;0;212;0;5-31-2009;9-3-12 19:39
LEVC;2009;5;3048;0;0;0;0;0;;
LEZL;2009;5;2016;0;0;0;0;0;;
LFLL;2009;5;5246;740;0;0;740;0;5-26-2009;9-3-12 19:37
LFMN;2009;5;6592;2396;1095;0;0;1301;5-25-2009;9-3-12 19:37
LFPG;2009;5;22996;13760;5502;0;8258;0;5-30-2009;9-3-12 19:39
LFPO;2009;5;9738;11222;1607;2067;1713;5835;5-31-2009;9-3-12 19:39
LFSB;2009;5;2655;0;0;0;0;0;;
LGAV;2009;5;9267;33096;3835;0;0;29261;5-31-2009;9-3-12 19:39
LHBP;2009;5;4835;554;0;346;0;208;5-4-2009;9-3-12 19:31
LICC;2009;5;2648;24;0;0;0;24;5-8-2009;9-3-12 19:32
LIMC;2009;5;8221;0;0;0;0;0;;
LIME;2009;5;2772;373;0;0;373;0;5-29-2009;9-3-12 19:38
LIML;2009;5;5548;0;0;0;0;0;;
LIPE;2009;5;2921;0;0;0;0;0;;
LIPZ;2009;5;3447;71;0;0;71;0;5-11-2009;9-3-12 19:33
LIRF;2009;5;14594;3076;200;0;0;2876;5-31-2009;9-3-12 19:39
LIRN;2009;5;2977;188;0;188;0;0;5-13-2009;9-3-12 19:33
LJLJ;2009;5;1695;34;0;0;0;34;5-26-2009;9-3-12 19:37
LKPR;2009;5;6950;2656;1867;0;789;0;5-26-2009;9-3-12 19:37
LMML;2009;5;1361;0;0;0;0;0;;
LOWW;2009;5;11401;17907;15770;0;2137;0;5-31-2009;9-3-12 19:39
LPPR;2009;5;2215;135;0;0;135;0;5-20-2009;9-3-12 19:35
LPPT;2009;5;5678;1010;1010;0;0;0;5-23-2009;9-3-12 19:36
LROP;2009;5;3059;0;0;0;0;0;;
LSGG;2009;5;6815;6308;5900;246;0;162;5-28-2009;9-3-12 19:38
LSZH;2009;5;10682;14795;3633;1296;9866;0;5-31-2009;9-3-12 19:39
LZIB;2009;5;1083;0;0;0;0;0;;
EBBR;2009;6;10173;7954;394;0;7560;0;6-30-2009;9-3-12 19:40
EDDB;2009;6;3023;0;0;0;0;0;;
EDDF;2009;6;20041;58169;422;0;57747;0;6-30-2009;9-3-12 19:42
EDDH;2009;6;6436;1416;235;0;1181;0;6-19-2009;9-3-12 19:41
EDDK;2009;6;5866;150;0;0;150;0;6-26-2009;9-3-12 0:16
EDDL;2009;6;9680;5850;2748;0;2918;184;6-30-2009;9-3-12 19:42
EDDM;2009;6;17131;31331;0;0;31331;0;6-30-2009;9-3-12 19:40
EDDN;2009;6;2560;0;0;0;0;0;;
EDDP;2009;6;2519;0;0;0;0;0;;
EDDS;2009;6;5889;0;0;0;0;0;;
EDDV;2009;6;3259;106;106;0;0;0;6-30-2009;9-3-12 0:19
EETN;2009;6;1248;0;0;0;0;0;;
EFHK;2009;6;7352;414;414;0;0;0;6-19-2009;9-3-12 0:14
EGBB;2009;6;4650;0;0;0;0;0;;
EGCC;2009;6;7882;1885;0;0;1223;662;6-23-2009;9-3-12 19:39
EGGD;2009;6;2726;0;0;0;0;0;;
EGGW;2009;6;4609;0;0;0;0;0;;
EGKK;2009;6;11460;11;0;0;0;11;6-27-2009;9-3-12 0:17
EGLC;2009;6;3378;4166;2644;205;862;455;6-30-2009;9-3-12 19:42
EGLL;2009;6;19940;24023;8622;0;14857;544;6-28-2009;9-3-12 19:42
EGNT;2009;6;2560;0;0;0;0;0;;
EGPD;2009;6;2951;0;0;0;0;0;6-24-2009;9-3-12 0:16
EGPF;2009;6;3805;270;0;0;0;270;6-27-2009;9-3-12 0:17
EGPH;2009;6;5216;941;763;0;178;0;6-29-2009;9-3-12 19:40
EGSS;2009;6;7457;0;0;0;0;0;;
EHAM;2009;6;17677;4432;388;0;4044;0;6-30-2009;9-3-12 0:19
EIDW;2009;6;7676;48;48;0;0;0;6-10-2009;9-3-12 0:11
EKCH;2009;6;10655;9414;8236;0;1128;50;6-19-2009;9-3-12 0:14
ELLX;2009;6;2454;449;0;449;0;0;6-22-2009;9-3-12 0:15
ENBR;2009;6;3979;349;0;349;0;0;6-22-2009;9-3-12 0:15
ENGM;2009;6;9546;2171;442;0;0;1729;6-18-2009;9-3-12 0:14
ENVA;2009;6;2211;0;0;0;0;0;;
ENZV;2009;6;2979;0;0;0;0;0;;
EPWA;2009;6;6032;1092;680;0;412;0;6-25-2009;9-3-12 0:16
ESGG;2009;6;2543;0;0;0;0;0;;
ESSA;2009;6;8452;508;0;15;482;11;6-30-2009;9-3-12 0:19
EVRA;2009;6;2475;0;0;0;0;0;;
EYVI;2009;6;948;0;0;0;0;0;;
GCLP;2009;6;3577;3015;0;0;0;3015;6-17-2009;9-3-12 0:13
GCTS;2009;6;1520;0;0;0;0;0;;
GCXO;2009;6;2451;0;0;0;0;0;;
LBSF;2009;6;1999;0;0;0;0;0;;
LCLK;2009;6;2407;2569;2569;0;0;0;6-29-2009;9-3-12 19:39
LDZA;2009;6;1704;0;0;0;0;0;;
LEAL;2009;6;3459;282;282;0;0;0;6-25-2009;9-3-12 0:16
LEBB;2009;6;2081;0;0;0;0;0;;
LEBL;2009;6;12432;736;135;334;0;267;6-27-2009;9-3-12 0:17
LEIB;2009;6;3100;649;649;0;0;0;6-27-2009;9-3-12 0:17
LEMD;2009;6;18532;21071;17026;0;2489;1556;6-30-2009;9-3-12 19:42
LEMG;2009;6;4838;600;44;0;556;0;6-20-2009;9-3-12 19:40
LEPA;2009;6;9603;5347;5347;0;0;0;6-30-2009;9-3-12 19:42
LEVC;2009;6;3040;0;0;0;0;0;;
LEZL;2009;6;1941;0;0;0;0;0;;
LFLL;2009;6;5537;3644;1154;0;2490;0;6-28-2009;9-3-12 19:42
LFMN;2009;6;6392;407;92;298;17;0;6-14-2009;9-3-12 19:40
LFPG;2009;6;22753;19116;6336;0;12516;264;6-30-2009;9-3-12 19:42
LFPO;2009;6;9873;32335;2026;0;4141;26168;6-30-2009;9-3-12 19:42
LFSB;2009;6;2896;450;374;76;0;0;6-13-2009;9-3-12 0:12
LGAV;2009;6;9500;15977;15977;0;0;0;6-30-2009;9-3-12 19:41
LHBP;2009;6;4984;0;0;0;0;0;;
LICC;2009;6;2572;0;0;0;0;0;;
LIMC;2009;6;8478;1343;0;0;1343;0;6-6-2009;9-3-12 0:09
LIME;2009;6;2871;66;0;0;66;0;6-23-2009;9-3-12 0:15
LIML;2009;6;5365;308;0;0;264;44;6-9-2009;9-3-12 19:42
LIPE;2009;6;2994;0;0;0;0;0;;
LIPZ;2009;6;3778;1355;333;0;1022;0;6-26-2009;9-3-12 0:16
LIRF;2009;6;14079;6312;191;0;6121;0;6-30-2009;9-3-12 19:39
LIRN;2009;6;3101;0;0;0;0;0;;
LJLJ;2009;6;1803;0;0;0;0;0;;
LKPR;2009;6;7445;2571;0;0;2571;0;6-30-2009;9-3-12 0:19
LMML;2009;6;1412;0;0;0;0;0;;
LOWW;2009;6;11589;28300;20058;0;8242;0;6-30-2009;9-3-12 19:42
LPPR;2009;6;2110;1306;0;0;1306;0;6-17-2009;9-3-12 19:40
LPPT;2009;6;5574;2628;2628;0;0;0;6-30-2009;9-3-12 19:42
LROP;2009;6;3300;0;0;0;0;0;;
LSGG;2009;6;6728;4090;3767;0;323;0;6-29-2009;9-3-12 19:39
LSZH;2009;6;10748;13997;5707;785;7505;0;6-30-2009;9-3-12 19:41
LZIB;2009;6;1373;0;0;0;0;0;;
EBBR;2009;7;10124;4822;1453;0;3369;0;7-31-2009;9-3-12 0:36
EDDB;2009;7;3163;0;0;0;0;0;7-16-2009;9-3-12 0:29
EDDF;2009;7;20214;53977;1002;1999;50838;138;7-30-2009;9-3-12 0:35
EDDH;2009;7;6506;312;312;0;0;0;7-24-2009;9-3-12 0:33
EDDK;2009;7;6166;1219;391;0;828;0;7-23-2009;9-3-12 0:32
EDDL;2009;7;9710;8725;3182;0;5543;0;7-29-2009;9-3-12 0:35
EDDM;2009;7;17362;29038;786;0;28252;0;7-25-2009;9-3-12 0:33
EDDN;2009;7;2599;0;0;0;0;0;;
EDDP;2009;7;2671;0;0;0;0;0;;
EDDS;2009;7;5879;1965;0;0;1965;0;7-3-2009;9-3-12 0:23
EDDV;2009;7;3213;0;0;0;0;0;;
EETN;2009;7;1199;0;0;0;0;0;;
EFHK;2009;7;6248;92;92;0;0;0;7-4-2009;9-3-12 0:24
EGBB;2009;7;4675;0;0;0;0;0;;
EGCC;2009;7;8187;0;0;0;0;0;;
EGGD;2009;7;2943;0;0;0;0;0;;
EGGW;2009;7;4795;153;0;0;153;0;7-17-2009;9-3-12 0:30
EGKK;2009;7;12568;9969;0;0;9899;70;7-24-2009;9-3-12 0:33
EGLC;2009;7;3151;2267;624;0;1643;0;7-24-2009;9-3-12 0:33
EGLL;2009;7;20428;43589;6739;0;33176;3674;7-31-2009;9-3-12 0:36
EGNT;2009;7;2651;0;0;0;0;0;;
EGPD;2009;7;3062;0;0;0;0;0;;
EGPF;2009;7;3920;0;0;0;0;0;;
EGPH;2009;7;5378;1865;1494;0;0;371;7-27-2009;9-3-12 0:34
EGSS;2009;7;8227;0;0;0;0;0;;
EHAM;2009;7;18812;5054;1946;0;3108;0;7-30-2009;9-3-12 0:35
EIDW;2009;7;7955;2247;0;0;2247;0;7-15-2009;9-3-12 0:29
EKCH;2009;7;9961;715;94;0;621;0;7-23-2009;9-3-12 0:32
ELLX;2009;7;2442;0;0;0;0;0;;
ENBR;2009;7;3277;0;0;0;0;0;;
ENGM;2009;7;8194;220;0;0;220;0;7-1-2009;9-3-12 0:19
ENVA;2009;7;1751;0;0;0;0;0;;
ENZV;2009;7;2422;0;0;0;0;0;;
EPWA;2009;7;6187;270;222;48;0;0;7-16-2009;9-3-12 0:29
ESGG;2009;7;1946;0;0;0;0;0;;
ESSA;2009;7;6371;188;188;0;0;0;7-3-2009;9-3-12 0:23
EVRA;2009;7;2676;0;0;0;0;0;;
EYVI;2009;7;1032;0;0;0;0;0;;
GCLP;2009;7;3955;43;0;0;0;43;7-3-2009;9-3-12 0:23
GCTS;2009;7;1817;0;0;0;0;0;;
GCXO;2009;7;2604;0;0;0;0;0;;
LBSF;2009;7;2042;0;0;0;0;0;;
LCLK;2009;7;2670;3238;3238;0;0;0;7-27-2009;9-3-12 0:34
LDZA;2009;7;1821;0;0;0;0;0;;
LEAL;2009;7;3904;2153;2153;0;0;0;7-30-2009;9-3-12 0:35
LEBB;2009;7;2147;0;0;0;0;0;;
LEBL;2009;7;13142;3261;1381;1880;0;0;7-30-2009;9-3-12 0:35
LEIB;2009;7;4069;569;569;0;0;0;7-26-2009;9-3-12 0:34
LEMD;2009;7;19479;31929;21094;0;10381;454;7-31-2009;9-3-12 0:36
LEMG;2009;7;5470;2094;2094;0;0;0;7-25-2009;9-3-12 0:33
LEPA;2009;7;10836;15367;11495;0;652;3220;7-31-2009;9-3-12 0:36
LEVC;2009;7;3161;0;0;0;0;0;;
LEZL;2009;7;2012;0;0;0;0;0;;
LFLL;2009;7;5481;1960;0;0;1960;0;7-23-2009;9-3-12 0:32
LFMN;2009;7;7417;10099;3199;263;2279;4358;7-31-2009;9-3-12 0:36
LFPG;2009;7;23430;18408;6917;0;9336;2155;7-31-2009;9-3-12 0:36
LFPO;2009;7;10370;22905;644;0;1134;21127;7-26-2009;9-3-12 0:34
LFSB;2009;7;2764;51;0;43;0;8;7-30-2009;9-3-12 0:35
LGAV;2009;7;10385;45399;44033;53;1313;0;7-31-2009;9-3-12 0:36
LHBP;2009;7;5265;0;0;0;0;0;;
LICC;2009;7;2866;0;0;0;0;0;;
LIMC;2009;7;8616;0;0;0;0;0;;
LIME;2009;7;3158;421;0;0;421;0;7-17-2009;9-3-12 0:30
LIML;2009;7;5595;1005;0;0;1005;0;7-24-2009;9-3-12 0:33
LIPE;2009;7;3075;0;0;0;0;0;;
LIPZ;2009;7;3717;1565;0;0;1565;0;7-18-2009;9-3-12 0:30
LIRF;2009;7;14831;2045;455;0;1590;0;7-10-2009;9-3-12 0:27
LIRN;2009;7;3304;0;0;0;0;0;7-12-2009;9-3-12 0:28
LJLJ;2009;7;1863;0;0;0;0;0;7-6-2009;9-3-12 0:25
LKPR;2009;7;7801;4889;91;0;4798;0;7-23-2009;9-3-12 0:32
LMML;2009;7;1596;0;0;0;0;0;;
LOWW;2009;7;11861;20334;15385;0;4949;0;7-31-2009;9-3-12 0:36
LPPR;2009;7;2516;2031;0;0;2031;0;7-26-2009;9-3-12 0:34
LPPT;2009;7;6563;3059;3059;0;0;0;7-31-2009;9-3-12 0:36
LROP;2009;7;3405;0;0;0;0;0;;
LSGG;2009;7;6868;4980;2950;0;2030;0;7-25-2009;9-3-12 0:33
LSZH;2009;7;11086;16237;4461;604;10849;323;7-31-2009;9-3-12 0:36
LZIB;2009;7;1534;0;0;0;0;0;;
EBBR;2009;8;9534;19171;3861;0;2106;13204;8-27-2009;9-3-12 0:49
EDDB;2009;8;2997;0;0;0;0;0;;
EDDF;2009;8;19802;6548;1090;293;4454;711;8-31-2009;9-3-12 0:50
EDDH;2009;8;6083;1020;1020;0;0;0;8-27-2009;9-3-12 0:49
EDDK;2009;8;5814;0;0;0;0;0;;
EDDL;2009;8;9269;3451;1222;1624;605;0;8-30-2009;9-3-12 0:50
EDDM;2009;8;16404;6876;0;0;6876;0;8-25-2009;9-3-12 0:48
EDDN;2009;8;2418;0;0;0;0;0;;
EDDP;2009;8;2553;0;0;0;0;0;;
EDDS;2009;8;5281;0;0;0;0;0;;
EDDV;2009;8;3002;0;0;0;0;0;;
EETN;2009;8;1282;0;0;0;0;0;;
EFHK;2009;8;7054;108;108;0;0;0;8-25-2009;9-3-12 0:48
EGBB;2009;8;4535;0;0;0;0;0;;
EGCC;2009;8;8337;319;319;0;0;0;8-17-2009;9-3-12 0:45
EGGD;2009;8;2997;579;0;0;0;579;8-8-2009;9-3-12 0:42
EGGW;2009;8;4556;380;0;0;380;0;8-31-2009;9-3-12 0:50
EGKK;2009;8;12756;17;0;0;0;17;8-8-2009;9-3-12 0:42
EGLC;2009;8;2541;138;0;0;138;0;8-7-2009;9-3-12 0:41
EGLL;2009;8;20120;17748;4813;0;12935;0;8-28-2009;9-3-12 0:49
EGNT;2009;8;2604;0;0;0;0;0;;
EGPD;2009;8;2860;0;0;0;0;0;;
EGPF;2009;8;3586;0;0;0;0;0;;
EGPH;2009;8;5195;606;606;0;0;0;8-18-2009;9-3-12 0:45
EGSS;2009;8;8177;0;0;0;0;0;;
EHAM;2009;8;18545;2379;259;0;2120;0;8-29-2009;9-3-12 0:50
EIDW;2009;8;7809;73;73;0;0;0;8-21-2009;9-3-12 0:46
EKCH;2009;8;10139;0;0;0;0;0;;
ELLX;2009;8;2267;0;0;0;0;0;;
ENBR;2009;8;3756;0;0;0;0;0;;
ENGM;2009;8;9295;142;0;0;142;0;8-21-2009;9-3-12 0:46
ENVA;2009;8;2133;0;0;0;0;0;;
ENZV;2009;8;2731;0;0;0;0;0;;
EPWA;2009;8;5924;270;223;0;47;0;8-28-2009;9-3-12 0:49
ESGG;2009;8;2311;1404;0;1404;0;0;8-7-2009;9-3-12 0:41
ESSA;2009;8;7712;235;0;0;235;0;8-18-2009;9-3-12 0:45
EVRA;2009;8;2670;0;0;0;0;0;;
EYVI;2009;8;994;0;0;0;0;0;;
GCLP;2009;8;4041;0;0;0;0;0;;
GCTS;2009;8;2017;0;0;0;0;0;;
GCXO;2009;8;2541;0;0;0;0;0;;
LBSF;2009;8;1998;0;0;0;0;0;;
LCLK;2009;8;2647;2264;2264;0;0;0;8-31-2009;9-3-12 0:50
LDZA;2009;8;1725;0;0;0;0;0;;
LEAL;2009;8;4046;0;0;0;0;0;;
LEBB;2009;8;1922;0;0;0;0;0;;
LEBL;2009;8;12203;2120;1794;53;0;273;8-22-2009;9-3-12 0:47
LEIB;2009;8;4584;5203;4512;0;0;691;8-30-2009;9-3-12 0:50
LEMD;2009;8;18308;20325;15577;0;4014;734;8-31-2009;9-3-12 0:50
LEMG;2009;8;5608;3370;3370;0;0;0;8-30-2009;9-3-12 0:50
LEPA;2009;8;11238;19513;18004;0;1509;0;8-30-2009;9-3-12 0:50
LEVC;2009;8;3078;0;0;0;0;0;;
LEZL;2009;8;1951;0;0;0;0;0;;
LFLL;2009;8;4738;677;0;0;677;0;8-25-2009;9-3-12 0:48
LFMN;2009;8;7409;5141;5141;0;0;0;8-30-2009;9-3-12 0:50
LFPG;2009;8;22872;9889;5792;0;4097;0;8-31-2009;9-3-12 0:50
LFPO;2009;8;9214;231;136;0;95;0;8-27-2009;9-3-12 0:49
LFSB;2009;8;2492;3232;2893;0;0;339;8-31-2009;9-3-12 0:50
LGAV;2009;8;10552;34750;34750;0;0;0;8-31-2009;9-3-12 0:50
LHBP;2009;8;5185;0;0;0;0;0;;
LICC;2009;8;2926;0;0;0;0;0;;
LIMC;2009;8;8589;0;0;0;0;0;;
LIME;2009;8;3061;0;0;0;0;0;;
LIML;2009;8;4106;0;0;0;0;0;;
LIPE;2009;8;2932;0;0;0;0;0;;
LIPZ;2009;8;3505;580;0;0;56;524;8-28-2009;9-3-12 0:49
LIRF;2009;8;14113;1205;0;0;1205;0;8-9-2009;9-3-12 0:42
LIRN;2009;8;3277;13;0;0;0;13;8-6-2009;9-3-12 0:41
LJLJ;2009;8;1794;0;0;0;0;0;;
LKPR;2009;8;7703;387;359;0;28;0;8-30-2009;9-3-12 0:50
LMML;2009;8;1641;0;0;0;0;0;;
LOWW;2009;8;11159;17667;13025;0;2684;1958;8-31-2009;9-3-12 0:50
LPPR;2009;8;2540;4013;0;0;4013;0;8-31-2009;9-3-12 0:50
